Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,UTM,SpeedKPH,SpeedMPH,Battery
67.29011,14.50030,249,2.78,2025-03-01T13:30:54.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:00,0.0,0.0,,,,false,35 / 66,0,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:54 CET,14:30:54.048,14:30:54.031,14:30:54.036,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:30:54.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:00,0.0,0.0,,,,false,35 / 66,0,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:54 CET,14:30:54.048,14:30:54.031,14:30:54.039,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:30:55.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,35 / 65,1,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:55 CET,14:30:55.091,14:30:55.074,14:30:55.077,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:30:56.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,35 / 66,2,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:56 CET,14:30:56.049,14:30:56.033,14:30:56.036,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:30:57.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,35 / 66,3,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:57 CET,14:30:57.035,14:30:57.019,14:30:57.021,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:30:58.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,35 / 66,4,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:58 CET,14:30:58.036,14:30:58.019,14:30:58.022,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:30:59.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,35 / 66,5,0.0,1,0.8,0.6,0.5,-,-,Ship,14:30:59 CET,14:30:59.051,14:30:59.034,14:30:59.046,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:31:00.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,35 / 66,6,0.0,1,0.8,0.6,0.5,-,-,Ship,14:31:00 CET,14:31:00.072,14:31:00.055,14:31:00.062,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:31:01.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,34 / 65,7,0.0,1,0.8,0.6,0.5,-,-,Ship,14:31:01 CET,14:31:01.376,14:31:01.359,14:31:01.363,33 W 478472 7463808,0.00,0.00,54
67.29011,14.50030,249,2.78,2025-03-01T13:31:02.000Z,gps,67.29011,14.50030,284,3.79,0.00,0.0,gps [GPS],00:00:01,0.0,0.0,,,,false,34 / 66,8,0.0,1,0.8,0.6,0.5,-,-,Ship,14:31:02 CET,14:31:02.066,14:31:02.050,14:31:02.057,33 W 478472 7463808,0.00,0.00,54
